0,1,2,3,4,5
31052.0,2019-11-01,"(495.312, 668.0]",4,6,-2
31052.0,2019-11-01,"(1012.0, 1184.0]",5,1,4
31053.0,2019-11-01,"(768.0, 910.5]",1,2,-1
31053.0,2019-11-01,"(910.5, 1053.0]",2,2,0
31054.0,2019-11-01,"(723.879, 754.25]",1,1,0
31054.0,2019-11-01,"(814.75, 845.0]",1,2,-1
31055.0,2019-11-01,"(484.461, 619.75]",1,3,-2
31055.0,2019-11-01,"(889.25, 1024.0]",2,3,-1
31056.0,2019-11-01,"(828.0, 1026.5]",1,2,-1
31056.0,2019-11-01,"(1026.5, 1225.0]",2,1,1
31057.0,2019-11-01,"(458.341, 623.75]",1,3,-2
31057.0,2019-11-01,"(953.25, 1118.0]",2,2,0
31058.0,2019-11-01,"(740.25, 762.0]",1,1,0
31059.0,2019-11-01,"(684.0, 818.5]",1,1,0
31059.0,2019-11-01,"(818.5, 953.0]",1,2,-1
31060.0,2019-11-01,"(631.539, 747.25]",2,2,0
31060.0,2019-11-01,"(977.75, 1093.0]",3,1,2
31061.0,2019-11-01,"(642.25, 762.5]",1,1,0
31061.0,2019-11-01,"(882.75, 1003.0]",1,1,0
31062.0,2019-11-01,"(652.23, 845.5]",7,14,-7
31062.0,2019-11-01,"(845.5, 1038.0]",4,12,-8
31062.0,2019-11-01,"(1038.0, 1230.5]",3,6,-3
31062.0,2019-11-01,"(1230.5, 1423.0]",1,1,0
31063.0,2019-11-01,"(549.5, 824.25]",1,1,0
31063.0,2019-11-01,"(824.25, 1099.0]",1,1,0
31064.0,2019-11-01,"(497.335, 664.25]",3,6,-3
31064.0,2019-11-01,"(996.75, 1163.0]",8,1,7
31065.0,2019-11-01,"(568.25, 755.5]",1,4,-3
31065.0,2019-11-01,"(942.75, 1130.0]",2,2,0
31066.0,2019-11-01,"(472.205, 671.75]",1,3,-2
31066.0,2019-11-01,"(870.5, 1069.25]",2,5,-3
31066.0,2019-11-01,"(1069.25, 1268.0]",2,2,0
31067.0,2019-11-01,"(716.5, 953.0]",2,2,0
31067.0,2019-11-01,"(953.0, 1189.5]",3,2,1
31067.0,2019-11-01,"(1189.5, 1426.0]",1,4,-3
31068.0,2019-11-01,"(970.5, 1104.0]",2,1,1
31069.0,2019-11-01,"(353.154, 565.5]",1,7,-6
31069.0,2019-11-01,"(565.5, 777.0]",1,1,0
31069.0,2019-11-01,"(777.0, 988.5]",3,3,0
31069.0,2019-11-01,"(988.5, 1200.0]",4,5,-1
31070.0,2019-11-01,"(632.5, 813.0]",1,1,0
31070.0,2019-11-01,"(993.5, 1174.0]",3,2,1
31071.0,2019-11-01,"(471.043, 711.25]",3,5,-2
31071.0,2019-11-01,"(711.25, 950.5]",2,6,-4
31071.0,2019-11-01,"(950.5, 1189.75]",3,3,0
31071.0,2019-11-01,"(1189.75, 1429.0]",3,3,0
31072.0,2019-11-01,"(540.0, 720.0]",1,1,0
31073.0,2019-11-01,"(954.75, 1273.0]",1,1,0
31074.0,2019-11-01,"(645.518, 766.5]",1,2,-1
31074.0,2019-11-01,"(766.5, 887.0]",1,1,0
31074.0,2019-11-01,"(1007.5, 1128.0]",2,2,0
31075.0,2019-11-01,"(710.0, 989.0]",1,1,0
31075.0,2019-11-01,"(989.0, 1268.0]",5,1,4
31076.0,2019-11-01,"(422.384, 577.0]",1,1,0
31076.0,2019-11-01,"(885.0, 1039.0]",2,1,1
31077.0,2019-11-01,"(465.297, 641.75]",2,6,-4
31077.0,2019-11-01,"(817.5, 993.25]",7,1,6
31077.0,2019-11-01,"(993.25, 1169.0]",4,9,-5
31078.0,2019-11-01,"(493.305, 667.75]",8,8,0
31078.0,2019-11-01,"(667.75, 841.5]",1,2,-1
31078.0,2019-11-01,"(1015.25, 1189.0]",1,4,-3
31079.0,2019-11-01,"(646.75, 888.5]",3,10,-7
31079.0,2019-11-01,"(888.5, 1130.25]",4,3,1
31079.0,2019-11-01,"(1130.25, 1372.0]",7,6,1
31080.0,2019-11-01,"(451.087, 680.25]",2,10,-8
31080.0,2019-11-01,"(680.25, 908.5]",2,5,-3
31080.0,2019-11-01,"(908.5, 1136.75]",6,9,-3
31080.0,2019-11-01,"(1136.75, 1365.0]",5,6,-1
31081.0,2019-11-01,"(545.534, 662.5]",1,1,0
31081.0,2019-11-01,"(779.0, 895.5]",1,1,0
31081.0,2019-11-01,"(895.5, 1012.0]",2,1,1
31082.0,2019-11-01,"(723.717, 794.75]",2,2,0
31083.0,2019-11-01,"(884.5, 1036.75]",2,2,0
31083.0,2019-11-01,"(1036.75, 1189.0]",1,2,-1
31084.0,2019-11-01,"(463.216, 660.0]",3,4,-1
31084.0,2019-11-01,"(660.0, 856.0]",3,4,-1
31084.0,2019-11-01,"(1052.0, 1248.0]",1,1,0
31085.0,2019-11-01,"(831.0, 1108.0]",1,1,0
31086.0,2019-11-01,"(413.008, 662.0]",1,3,-2
31086.0,2019-11-01,"(662.0, 910.0]",1,1,0
31086.0,2019-11-01,"(910.0, 1158.0]",2,4,-2
31086.0,2019-11-01,"(1158.0, 1406.0]",2,2,0
31087.0,2019-11-01,"(343.146, 557.5]",1,1,0
31087.0,2019-11-01,"(557.5, 771.0]",1,2,-1
31087.0,2019-11-01,"(771.0, 984.5]",1,2,-1
31087.0,2019-11-01,"(984.5, 1198.0]",1,2,-1
31088.0,2019-11-01,"(408.991, 662.25]",1,4,-3
31088.0,2019-11-01,"(662.25, 914.5]",1,1,0
31088.0,2019-11-01,"(914.5, 1166.75]",3,6,-3
31088.0,2019-11-01,"(1166.75, 1419.0]",1,1,0
31089.0,2019-11-01,"(398.0, 744.0]",11,2,9
31089.0,2019-11-01,"(744.0, 1090.0]",7,18,-11
31089.0,2019-11-01,"(1090.0, 1436.0]",8,18,-10
,,,,1.0,
,,,,2.0,
31091.0,2019-11-01,"(835.5, 1054.25]",5,5,0
31091.0,2019-11-01,"(1054.25, 1273.0]",2,5,-3
31092.0,2019-11-01,"(875.0, 1040.5]",1,1,0
31092.0,2019-11-01,"(1040.5, 1206.0]",1,1,0
31093.0,2019-11-01,"(879.5, 1006.25]",1,2,-1
31093.0,2019-11-01,"(1006.25, 1133.0]",1,4,-3
31094.0,2019-11-01,"(660.75, 815.5]",1,1,0
31094.0,2019-11-01,"(815.5, 970.25]",2,1,1
31094.0,2019-11-01,"(970.25, 1125.0]",1,2,-1
,,,,1.0,
,,,,1.0,
31096.0,2019-11-01,"(723.612, 821.0]",1,2,-1
31096.0,2019-11-01,"(1015.0, 1112.0]",1,1,0
31097.0,2019-11-01,"(507.104, 732.0]",3,4,-1
31097.0,2019-11-01,"(732.0, 956.0]",3,3,0
31097.0,2019-11-01,"(956.0, 1180.0]",2,4,-2
31097.0,2019-11-01,"(1180.0, 1404.0]",6,12,-6
31098.0,2019-11-01,"(419.083, 649.25]",5,10,-5
31098.0,2019-11-01,"(649.25, 878.5]",1,1,0
31098.0,2019-11-01,"(878.5, 1107.75]",4,7,-3
31098.0,2019-11-01,"(1107.75, 1337.0]",5,9,-4
31099.0,2019-11-01,"(1038.0, 1228.0]",5,2,3
31100.0,2019-11-01,"(477.124, 697.0]",13,13,0
31100.0,2019-11-01,"(697.0, 916.0]",4,10,-6
31100.0,2019-11-01,"(916.0, 1135.0]",1,5,-4
31100.0,2019-11-01,"(1135.0, 1354.0]",1,2,-1
31101.0,2019-11-01,"(26.601, 377.75]",3,6,-3
31101.0,2019-11-01,"(377.75, 727.5]",25,73,-48
31101.0,2019-11-01,"(727.5, 1077.25]",35,63,-28
31101.0,2019-11-01,"(1077.25, 1427.0]",45,63,-18
31102.0,2019-11-01,"(397.0, 741.0]",3,3,0
31102.0,2019-11-01,"(741.0, 1085.0]",7,28,-21
31102.0,2019-11-01,"(1085.0, 1429.0]",12,16,-4
31103.0,2019-11-01,"(30.596, 383.0]",1,4,-3
31103.0,2019-11-01,"(383.0, 734.0]",3,39,-36
31103.0,2019-11-01,"(734.0, 1085.0]",17,48,-31
31103.0,2019-11-01,"(1085.0, 1436.0]",8,31,-23
31104.0,2019-11-01,"(128.706, 453.5]",2,8,-6
31104.0,2019-11-01,"(453.5, 777.0]",5,22,-17
31104.0,2019-11-01,"(777.0, 1100.5]",19,33,-14
31104.0,2019-11-01,"(1100.5, 1424.0]",15,26,-11
31105.0,2019-11-01,"(426.139, 642.25]",5,23,-18
31105.0,2019-11-01,"(642.25, 857.5]",1,4,-3
31105.0,2019-11-01,"(857.5, 1072.75]",3,13,-10
31105.0,2019-11-01,"(1072.75, 1288.0]",3,5,-2
31106.0,2019-11-01,"(415.018, 661.5]",3,17,-14
31106.0,2019-11-01,"(907.0, 1152.5]",8,3,5
31106.0,2019-11-01,"(1152.5, 1398.0]",1,10,-9
31107.0,2019-11-01,"(359.958, 621.5]",1,20,-19
31107.0,2019-11-01,"(621.5, 882.0]",5,13,-8
